"","PMID","Abstract","Year","Title"
"11","34217366","CONCLUSION: The implemented prevention measures and protocols might have reduced the incidence of influenza and some other common respiratory infections. However, controversies exist on this matter and future large population-based studies might provide further information to address these controversies.",2021,"Effects of COVID-19 prevention procedures on other common infections: a systematic review."
"12","34218350","PURPOSE OF REVIEW: COVID-19 patients have a procoagulant state with a high prevalence of thrombotic events. The hypothesis of an involvement of antiphospholipid antibodies (aPL) has been suggested by several reports. Here, we reviewed 48 studies investigating aPL in COVID-19 patients.",2021,"Systematic Review of Antiphospholipid Antibodies in COVID-19 Patients: Culprits or Bystanders?"
"13","34218350","RECENT FINDINGS: Prevalence of Lupus Anticoagulant (LA) ranged from 35% to 92% in ICU patients. Anti-cardiolipin (aCL) IgG and IgM were found in up to 52% and up to 40% of patients respectively. Anti-β2-glycoprotein I (aβ2-GPI) IgG and IgM were found in up to 39% and up to 34% of patients respectively. Between 1% and 12% of patients had a triple positive aPL profile. There was a high prevalence of aβ2-GPI and aCL IgA isotype. Two cohort studies found few persistent LA but more persistent solid phase assay aPL over time. aPL determination and their potential role is a real challenge for the treatment of this disease.",2021,"Systematic Review of Antiphospholipid Antibodies in COVID-19 Patients: Culprits or Bystanders?"
"14","34219389","BACKGROUND: Several local studies showed that the 2009 influenza pandemic delayed the RSV season. However, no global-level analyses are available on the possible impact of the 2009 influenza pandemic on the RSV season.",2021,"The impact of the 2009 influenza pandemic on the seasonality of human respiratory syncytial virus: A systematic analysis."
"15","34219389","OBJECTIVES: We aim to understand the impact of the 2009 influenza pandemic on the RSV season.",2021,"The impact of the 2009 influenza pandemic on the seasonality of human respiratory syncytial virus: A systematic analysis."
"16","34219389","METHODS: We compiled data from published literature (through a systematic review), online reports/datasets and previously published data on global RSV seasonality and conducted a global-level systematic analysis on the impact of the 2009 influenza pandemic on RSV seasonality.",2021,"The impact of the 2009 influenza pandemic on the seasonality of human respiratory syncytial virus: A systematic analysis."
"17","34219389","RESULTS: We included 354 seasons of 45 unique sites, from 26 countries. Globally, the influenza pandemic delayed the onset of the first RSV season by 0.58 months on average (95% CI: 0.42, 0.73; maximum delay: 2.5 months) and the onset of the second RSV season by a lesser extent (0.25 months; 95% CI: 0.12, 0.39; maximum delay: 3.4 months); no delayed onset was observed for the third RSV season. The delayed onset was most pronounced in the northern temperate, followed by the southern temperate, and was least pronounced in the tropics.",2021,"The impact of the 2009 influenza pandemic on the seasonality of human respiratory syncytial virus: A systematic analysis."
"18","34219389","CONCLUSIONS: The 2009 influenza pandemic delayed the RSV onset on average by 0.58 months and up to 2.5 months. This suggests evidence of viral interference as well as the impact of public health measures and has important implications for preparedness for RSV season during the ongoing COVID-19 pandemic and future pandemics.",2021,"The impact of the 2009 influenza pandemic on the seasonality of human respiratory syncytial virus: A systematic analysis."
"19","34219674","BACKGROUND: Perinatal practices such as breast-feeding, kangaroo mother care, rooming-in, and delayed cord clamping have varied by institution during the COVID-19 pandemic. The goal of this systematic review was to examine the success of different practices in preventing viral transmission between SARS-CoV-2 positive mothers and their infants.",NA,"Transmission of severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) through infant feeding and early care practices: A systematic review."
"20","34219674","METHODS: Electronic searches were performed in the Ovid MEDLINE, Ovid Embase, Cochrane Library, EBSCOhost CINAHL Plus, Web of Science, and Scopus databases. Studies involving pregnant or breastfeeding patients who tested positive for SARS-CoV-2 by RT-PCR were included. Infants tested within 48 hours of birth who had two tests before hospital discharge were included. Infants older than one week with a single test were also included.",NA,"Transmission of severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) through infant feeding and early care practices: A systematic review."
"21","34219674","RESULTS: Twenty eight studies were included. In the aggregated data, among 190 breastfeeding infants, 22 tested positive for SARS-CoV-2 (11.5%), while 4 of 152 (2.63%) among bottle-fed (Fisher's exact test p = 0.0006). The positivity rates for roomed in infants (20/103, 19.4%) were significantly higher than those isolated (5/300, 1.67%) (P < 0.0001). There was no significant difference in positivity rate among infants who received kangaroo care (25%vs 9%, p = 0.2170), or delayed cord clamping (3.62%vs 0.9%, p = 0.1116).",NA,"Transmission of severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) through infant feeding and early care practices: A systematic review."
"22","34219674","CONCLUSIONS: Lack of robust studies involving large patient population does not allow meaningful conclusions from this systematic review. Aggregated data showed increased positivity rates of SARS-CoV-2 among infants who were breast fed and roomed-in. There were no differences in SARS-CoV-2 positivity rates in infants received skin to skin care or delayed cord clamping.",NA,"Transmission of severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) through infant feeding and early care practices: A systematic review."
"23","34221359","BACKGROUND: Strategic planning is critical for successful pandemic management. This study aimed to identify and review the scope and analytic depth of situation analyses conducted to understand their utility, and capture the documented macro-level factors impacting pandemic management.",2021,"Macro level factors influencing strategic responses to emergent pandemics: A scoping review."
"24","34221359","METHODS: To synthesise this disparate body of literature, we adopted a two-step search and review process. A systematic search of the literature was conducted to identify all studies since 2000, that have 1) employed a situation analysis; and 2) examined contextual factors influencing pandemic management. The included studies are analysed using a seven-domain systems approach from the discipline of strategic management.",2021,"Macro level factors influencing strategic responses to emergent pandemics: A scoping review."
"25","34221359","RESULTS: Nineteen studies were included in the final review ranging from single country (6) to regional, multi-country studies (13). Fourteen studies had a single disease focus, with 5 studies evaluating responses to one or more of COVID-19, Severe Acute Respiratory Syndrome (SARS), Middle East Respiratory Syndrome (MERS), Influenza A (H1N1), Ebola virus disease, and Zika virus disease pandemics. Six studies examined a single domain from political, economic, sociological, technological, ecological or wider industry (PESTELI), 5 studies examined two to four domains, and 8 studies examined five or more domains. Methods employed were predominantly literature reviews. The recommendations focus predominantly on addressing inhibitors in the sociological and technological domains with few recommendations articulated in the political domain. Overall, the legislative domain is least represented.",2021,"Macro level factors influencing strategic responses to emergent pandemics: A scoping review."
"26","34221359","CONCLUSIONS: Ex-post analysis using the seven-domain strategic management framework provides further opportunities for a planned systematic response to pandemics which remains critical as the current COVID-19 pandemic evolves.",2021,"Macro level factors influencing strategic responses to emergent pandemics: A scoping review."
"27","34221360","BACKGROUND: People from racial minority groups in western countries experience disproportionate socioeconomic and structural determinants of health disadvantages. These disadvantages have led to inequalities and inequities in health care access and poorer health outcomes. We report disproportionate disparities in prevalence, hospitalisation, and deaths from COVID-19 by racial minority populations.",2021,"Racial disparities in COVID-19 pandemic cases, hospitalisations, and deaths: A systematic review and meta-analysis."
"28","34221360","METHODS: We conducted a systematic literature search of relevant databases to identify studies reporting on prevalence, hospitalisations, and deaths from COVID-19 by race groups between 01 January 2020 - 15 April 2021. We grouped race categories into Blacks, Hispanics, Whites and Others. Random effects model using the method of DerSimonian and Laird were fitted, and forest plot with respective ratio estimates and 95% confidence interval (CI) for each race category, and subgroup meta-regression analyses and the overall pooled ratio estimates for prevalence, hospitalisation and mortality rate were presented.",2021,"Racial disparities in COVID-19 pandemic cases, hospitalisations, and deaths: A systematic review and meta-analysis."
"29","34221360","RESULTS: Blacks experienced significantly higher burden of COVID-19: prevalence ratio 1.79 (95% confidence interval (CI) = 1.59-1.99), hospitalisation ratio 1.87 (95% CI = 1.69-2.04), mortality ratio 1.68 (95% CI = 1.52-1.83), compared to Whites: prevalence ratio 0.70 (95% CI = 0.0.64-0.77), hospitalisation ratio 0.74 (95% CI = 0.65-0.82), mortality ratio 0.82 (95% CI = 0.78-0.87). Also, Hispanics experienced a higher burden: prevalence ratio 1.78 (95% CI = 1.63-1.94), hospitalisation ratio 1.32 (95% CI = 1.08-1.55), mortality ratio 0.94 (95% CI = 0.84-1.04) compared to Whites. A higher burden was also observed for Other race groups: prevalence ratio 1.43 (95% CI = 1.19-1.67), hospitalisation ratio 1.12 (95% CI = 0.89-1.35), mortality ratio 1.06 (95% CI = 0.89-1.23) compared to Whites. The disproportionate burden among Blacks and Hispanics remained following correction for publication bias.",2021,"Racial disparities in COVID-19 pandemic cases, hospitalisations, and deaths: A systematic review and meta-analysis."
"30","34221360","CONCLUSIONS: Blacks and Hispanics have been disproportionately affected by COVID-19. This is deeply concerning and highlights the systemically entrenched disadvantages (social, economic, and political) experienced by racial minorities in western countries; and this study underscores the need to address inequities in these communities to improve overall health outcomes.",2021,"Racial disparities in COVID-19 pandemic cases, hospitalisations, and deaths: A systematic review and meta-analysis."
"31","34221361","BACKGROUND: We determined the clinical presentation, risk factors, and pregnancy and perinatal outcomes in pregnant women with confirmed COVID-19 and identified if these are different based on COVID-19 severity.",2021,"A systematic review and meta-analysis of data on pregnant women with confirmed COVID-19: Clinical presentation, and pregnancy and perinatal outcomes based on COVID-19 severity."
"32","34221361","METHODS: We included all observational studies on pregnant women with confirmed COVID-19 reporting clinical presentation, risk factors, and pregnancy and perinatal outcomes. We included all studies published between Dec/2019-Feb/2021 in Medline, Embase, the WHO COVID-19 databases, and clinicaltrials.gov. The methodological quality of cohort and case-series was assessed using NHLBI criteria.",2021,"A systematic review and meta-analysis of data on pregnant women with confirmed COVID-19: Clinical presentation, and pregnancy and perinatal outcomes based on COVID-19 severity."
"33","34221361","RESULTS: 31 016 pregnant women from 62 studies were included. Women were an average of 30.9 years of age, most (77.7%) were in the third trimester, and 16.4% developed severe COVID-19. Nearly half were asymptomatic, while the most commonly reported symptoms were cough, fever, fatigue, and anosmia/ageusia. About 7% were admitted to the intensive care unit (ICU), 8% required mechanical ventilation, and 2% of the women died. Almost 80% of women delivered; 48.4% had cesarean births. Among newborns, 23.4% were preterm (<37 weeks), 16.6% were low birth weight, and 23.7% were admitted to neonatal ICU. A total of 21 stillbirths (1.6%) and 24 neonatal deaths (1.6%) were recorded, while 50 babies (3.5%) were COVID-19 positive. Studies comparing pregnant women with severe and non-severe COVID-19 showed that women with severe COVID-19 were 3.7 years older and the risk of severe COVID-19 was 1.5 times higher among women >35 years. The risk of severe COVID-19 was significantly higher among women who were obese, had smoked, diabetic, and had pre-eclampsia. The risk of preterm birth was almost 2.4 folds among women with severe COVID-19.",2021,"A systematic review and meta-analysis of data on pregnant women with confirmed COVID-19: Clinical presentation, and pregnancy and perinatal outcomes based on COVID-19 severity."
"34","34221361","CONCLUSIONS: Our review suggests a heightened risk of COVID-19 severity and adverse pregnancy and perinatal outcomes among women with certain demographic and health profiles. These findings can inform the formation of current guidelines; however, these should be constantly updated as the global COVID-19 scenario unfolds.",2021,"A systematic review and meta-analysis of data on pregnant women with confirmed COVID-19: Clinical presentation, and pregnancy and perinatal outcomes based on COVID-19 severity."
"35","34221361","REGISTRATION: PROSPERO: CRD42020182048.",2021,"A systematic review and meta-analysis of data on pregnant women with confirmed COVID-19: Clinical presentation, and pregnancy and perinatal outcomes based on COVID-19 severity."
"36","34222270","Background: The morbidity and mortality of coronavirus disease 2019 (COVID-19) are still increasing. This study aimed to assess the quality of relevant COVID-19 clinical practice guidelines (CPGs) and to compare the similarities and differences between recommendations. Methods: A comprehensive search was conducted using electronic databases (PubMed, Embase, and Web of Science) and representative guidelines repositories from December 1, 2019, to August 11, 2020 (updated to April 5, 2021), to obtain eligible CPGs. The Appraisal of Guidelines for Research and Evaluation (AGREE II) tool was used to evaluate the quality of CPGs. Four authors extracted relevant information and completed data extraction forms. All data were analyzed using R version 3.6.0 software. Results: In total, 39 CPGs were identified and the quality was not encouragingly high. The median score (interquartile range, IQR) of every domain from AGREE II for evidence-based CPGs (EB-CPGs) versus (vs.) consensus-based CPG (CB-CPGs) was 81.94% (75.00-84.72) vs. 58.33% (52.78-68.06) in scope and purpose, 59.72% (38.89-75.00) vs. 36.11% (33.33-36.11) in stakeholder involvement, 64.58% (32.29-71.88) vs. 22.92% (16.67-26.56) in rigor of development, 75.00% (52.78-86.81) vs. 52.78% (50.00-63.89) in clarity of presentation, 40.63% (22.40-62.50) vs. 20.83% (13.54-25.00) in applicability, and 58.33% (50.00-100.00) vs. 50.00% (50.00-77.08) in editorial independence, respectively. The methodological quality of EB-CPGs were significantly superior to the CB-CPGs in the majority of domains (P < 0.05). There was no agreement on diagnosis criteria of COVID-19. But a few guidelines show Remdesivir may be beneficial for the patients, hydroxychloroquine +/- azithromycin may not, and there were more consistent suggestions regarding discharge management. For instance, after discharge, isolation management and health status monitoring may be continued. Conclusions: In general, the methodological quality of EB-CPGs is greater than CB-CPGs. However, it is still required to be further improved. Besides, the consistency of COVID-19 recommendations on topics such as diagnosis criteria is different. Of them, hydroxychloroquine +/- azithromycin may be not beneficial to treat patients with COVID-19, but remdesivir may be a favorable risk-benefit in severe COVID-19 infection; isolation management and health status monitoring after discharge may be still necessary. Chemoprophylaxis, including SARS-CoV 2 vaccines and antiviral drugs of COVID-19, still require more trials to confirm this.",2021,"Quality of and Recommendations for Relevant Clinical Practice Guidelines for COVID-19 Management: A Systematic Review and Critical Appraisal."
"37","34222281","Background: Several underlying diseases have been associated with unfavorable COVID-19 related outcomes including asthma and Chronic Obstructive Pulmonary Disease (COPD), however few studies have reported risks that are adjusted for confounding variables. This study aimed to examine the adjusted risk of COVID-19 related hospitalsation, intensive care unit (ICU) admission, and mortality in patients with vs. without asthma or COPD. Methods: A systematic review of major databases was undertaken for studies published between 1/12/2019 and 19/4/2021. Studies reporting the adjusted (for one or more confounder) risks of either hospitalsation, ICU admission, or mortality in asthmatics or COPD patients (control group = no asthma or no COPD) were identified. Risk of bias was determined via the QUIPS tool. A random effect meta-analysis was undertaken. Findings: 37 studies were eligible for analysis, with a total of 1,678,992 participants. The pooled ORs of COVID-19 hospitalsation in subjects with asthma and COPD was 0.91 (95% CI 0.76-1.09) and 1.37 (95% CI 1.29-1.46), respectively. For ICU admission, OR in subjects with asthma and COPD was 0.89 (95% CI 0.74-1.07) and 1.22 (95% CI 1.04-1.42), respectively. For mortality, ORs were 0.88 (95% CI 0.77-1.01) and 1.25 (95% CI 1.08-1.34) for asthma and COPD, respectively. Further, the pooled risk of mortality as measured via Cox regression was 0.93 (95% CI 0.87-1.00) for asthma and 1.30 (95% CI 1.17-1.44) for COPD. All of these findings were of a moderate level of certainty. Interpretation: COPD was significantly associated with COVID-19 related hospital admission, ICU admission, and mortality. Asthma was not associated with negative COVID-19 related health outcomes. Individuals with COPD should take precautions to limit the risk of COVID-19 exposure to negate these potential outcomes. Limitations include differing population types and adjustment for differing cofounding variables. Practitioners should note these findings when dealing with patients with these comorbidities. Review Protocol Registration: https://www.crd.york.ac.uk/prospero/.",2021,"The Risk of COVID-19 Related Hospitalsation, Intensive Care Unit Admission and Mortality in People With Underlying Asthma or COPD: A Systematic Review and Meta-Analysis."
"38","34222385","Background: Cardiomyopathies (CMPs) due to myocytes involvement are among the leading causes of sudden adolescent death and heart failure. During the COVID-19 pandemic, there are limited data available on cardiac complications in patients with COVID-19, leading to severe outcomes. Methods: We conducted a systematic search in Pubmed/Medline, Web of Science, and Embase databases up to August 2020, for all relevant studies about COVID-19 and CMPs. Results: A total of 29 articles with a total number of 1460 patients were included. Hypertension, diabetes, obesity, hyperlipidemia, and ischemic heart disease were the most reported comorbidities among patients with COVID-19 and cardiomyopathy. In the laboratory findings, 21.47% of patients had increased levels of troponin. Raised D-dimer levels were also reported in all of the patients. Echocardiographic results revealed mild, moderate, and severe Left Ventricular (LV) dysfunction present in 17.13, 11.87, and 10% of patients, respectively. Conclusions: Cardiac injury and CMPs were common conditions in patients with COVID-19. Therefore, it is suggested that cardiac damage be considered in managing patients with COVID-19.",2021,"COVID-19 and Cardiomyopathy: A Systematic Review."
"39","34223780","Healthcare access and delivery for individuals with chronic obstructive pulmonary disease (COPD) who live in remote areas or who are susceptible to contracting communicable diseases, such as COVID-19, may be a challenge. Telehealth and remote monitoring devices can be used to overcome this issue. However, the accuracy of these devices must be ensured before forming healthcare decisions based on their outcomes. Therefore, a systematic review was performed to synthesize the evidence on the reliability, validity and responsiveness of digital devices used for tracking oxygen saturation (SpO2) and/or respiratory rate (RR) in individuals with COPD, in remote settings. Three electronic databases were searched: MEDLINE (1996 to October 8, 2020), EMBASE (1996 to October 8, 2020) and CINAHL (1998 to October 8, 2020). Studies were included if they aimed to evaluate one or more measurement properties of a digital device measuring SpO2 or RR in individuals with COPD. Six-hundred and twenty-five articles were identified and after screening, 7 studies matched the inclusion criteria; covering 11 devices measuring SpO2 and/or RR. Studies reported on the reliability (n = 1), convergent validity (n = 1), concurrent validity (n = 2) and predictive validity (n = 2) of SpO2 devices and on the convergent validity (n = 1), concurrent validity (n = 1) and predictive validity (n = 1) of RR devices. SpO2 and RR devices were valid when compared against other respiration monitoring devices but were not precise in predicting exacerbation events. More well-designed measurement studies are needed to make firm conclusions about the accuracy of such devices.Supplemental data for this article is available online at https://doi.org/10.1080/15412555.2021.1945021 .",2021,"The Performance of Digital Monitoring Devices for Oxygen Saturation and Respiratory Rate in COPD: A Systematic Review."
"40","34225791","BACKGROUND: Various modalities of vaccines against coronavirus disease 2019 (COVID-19), based on different platforms and immunization procedures, have been successively approved for marketing worldwide. A comprehensive review for clinical trials assessing the safety of COVID-19 vaccines is urgently needed to make an accurate judgment for mass vaccination.",2021,"Safety of SARS-CoV-2 vaccines: a systematic review and meta-analysis of randomized controlled trials."
"41","34225791","MAIN TEXT: A systematic review and meta-analysis was conducted to determine the safety of COVID-19 vaccine candidates in randomized controlled trials (RCTs). Data search was performed in PubMed, Embase, Cochrane library, Scopus, Web of Science, and MedRxiv. Included articles were limited to RCTs on COVID-19 vaccines. A total of 73,633 subjects from 14 articles were included to compare the risks of adverse events following immunization (AEFI) after vaccinating different COVID-19 vaccines. Pooled risk ratios (RR) of total AEFI for inactivated vaccine, viral-vectored vaccine, and mRNA vaccine were 1.34 [95% confidence interval (CI) 1.11-1.61, P < 0.001], 1.65 (95% CI 1.31-2.07, P < 0.001), and 2.01 (95% CI 1.78-2.26, P < 0.001), respectively. No significant differences on local and systemic AEFI were found between the first dose and second dose. In addition, people aged ≤ 55 years were at significantly higher risk of AEFI than people aged ≥ 56 years, with a pooled RR of 1.25 (95% CI 1.15-1.35, P < 0.001).",2021,"Safety of SARS-CoV-2 vaccines: a systematic review and meta-analysis of randomized controlled trials."
"42","34225791","CONCLUSIONS: The safety and tolerance of current COVID-19 vaccine candidates are acceptable for mass vaccination, with inactivated COVID-19 vaccines candidates having the lowest reported AEFI. Long-term surveillance of vaccine safety is required, especially among elderly people with underlying medical conditions.",2021,"Safety of SARS-CoV-2 vaccines: a systematic review and meta-analysis of randomized controlled trials."
"43","34227080","OBJECTIVE: This study aims to provide medical educators with insights into the current status and prospects of undergraduate medical education, which has been affected by the COVID-19 pandemic.",NA,"Changes in undergraduate medical education due to COVID-19: a systematic review."
"44","34227080","MATERIALS AND METHODS: We conducted a database search of PubMed, Embase, and ERIC and identified articles on COVID-19-related undergraduate medical education. We independently reviewed titles and abstracts and extracted data on the geographic location of the study, area of specialty, phase in medical school (preclinical year, clerkship year, etc.), type of paper, and the main content of the study.",NA,"Changes in undergraduate medical education due to COVID-19: a systematic review."
"45","34227080","RESULTS: A total of 49 articles published across multiple countries were included in this study. These were categorized as dealing with either (1) curriculum changes in undergraduate medical education due to COVID-19 or (2) student-led educational activities related to COVID-19. The 41 articles in the first category showed two main trends: replacing in-person lectures with online classes in the preclinical years and adopting various remote educational methods to compensate for the discontinued or truncated clerkship in the clinical years. The eight articles in the second category showcased various student educational activities that were conducted to meet the public's medical needs during the pandemic.",NA,"Changes in undergraduate medical education due to COVID-19: a systematic review."
"46","34227080","CONCLUSIONS: This review summarized the essential changes in undergraduate medical education worldwide and reflected on the various teaching methods adopted by medical schools. In preparation for the post-COVID era, a comprehensive online curriculum and evaluation tools are needed, which require the development of necessary infrastructure and adequate resources. Education aimed at helping students be more socially aware and responsible as medical professionals must be promoted.",NA,"Changes in undergraduate medical education due to COVID-19: a systematic review."
"47","34227179","AIMS AND OBJECTIVES: To synthesise evidence regarding vaccination intention, identify factors contributing to vaccine hesitancy among healthcare professionals and the general populations globally.",2021,"COVID-19 vaccination intention in the first year of the pandemic: A systematic review."
"48","34227179","BACKGROUND: As COVID-19 vaccine becomes available worldwide, attention is being directed to community vaccine uptake, to achieve population-wide immunity. A number of factors have been reported to influence vaccine intention.",2021,"COVID-19 vaccination intention in the first year of the pandemic: A systematic review."
"49","34227179","METHODS: Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, a systematic search of COVID-19 vaccination intention related literature published on or before 31 December 2020 from seven databases was undertaken.",2021,"COVID-19 vaccination intention in the first year of the pandemic: A systematic review."
"50","34227179","RESULTS: Thirty articles were included in this systematic review. Overall COVID-19 vaccination intention during the first year of the pandemic ranged from 27.7% to 93.3%. Findings highlighted that socio-demographic differences, perceptions of risk and susceptibility to COVID-19 and vaccine attributes influenced vaccination intention. Healthcare professionals particularly, nurses have higher vaccine hesitancy reportedly due to concerns regarding vaccine safety and efficacy and mistrust of health authorities. Negative information about COVID-19 vaccines in the social media and low confidence in the health system were associated with lower acceptability among the community. Interestingly, cumulative increase in COVID-19 caseloads of countries over time was not associated with vaccination intention.",2021,"COVID-19 vaccination intention in the first year of the pandemic: A systematic review."
"51","34227179","CONCLUSIONS: The significant variability in vaccine intention rates worldwide would hamper efforts to achieve immunity against COVID-19. Nurses' concerns about vaccine safety and efficacy need to be addressed to increase vaccine acceptance and maximise their influence on vaccination decision in the community. As misinformation through social media negatively impacts vaccination uptake, authoritative and reliable information on vaccine attributes, disease risks and vaccination benefits are needed.",2021,"COVID-19 vaccination intention in the first year of the pandemic: A systematic review."
"52","34227179","RELEVANCE TO CLINICAL PRACTICE: Concerns about vaccine safety and efficacy including misinformation are important contributors to vaccine hesitancy. Addressing these factors, particularly among nurses who are considered trusted influencers of vaccination decisions in the community is an important strategy for pandemic preparedness.",2021,"COVID-19 vaccination intention in the first year of the pandemic: A systematic review."
